Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20206120,1170,watermael-boitsfort,house,for-sale,515000515000,77,137,3,1,No,Semi equipped,Good,2,None,None,1964,301,F,None,None,25,None,No,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/20206120
20208253,9060,zelzate,house,for-sale,599000599000,336,280,4,1,No,Installed,As new,4,3,None,2013,None,A+,None,130,None,Yes,No,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/zelzate/9060/20208253
20194561,3050,oud-heverlee,villa,for-sale,649000649000,539,190,3,1,No,Hyper equipped,Good,3,None,None,2002,153,B,None,None,44,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/oud-heverlee/3050/20194561
20194543,3053,oud-heverlee,villa,for-sale,649000649000,539,190,3,1,No,Hyper equipped,Good,3,None,None,2002,153,B,None,None,44,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/oud-heverlee/3053/20194543
20179038,1180,uccle,apartment-block,for-sale,650000650000,482,447,5,2,No,Installed,To renovate,2,4,None,None,518,G,Non flood zone,None,None,None,None,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20179038
20180724,1780,wemmel,villa,for-sale,675000675000,1210,284,5,2,No,Hyper equipped,Good,4,1,None,1958,418,E,None,500,50,No,No,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/wemmel/1780/20180724
20221120,8380,lissewege,villa,for-sale,695000695000,959,261,4,2,No,None,Good,None,None,None,1999,314,D,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/lissewege/8380/20221120
20139514,1200,woluwe-saint-lambert,town-house,for-sale,750000750000,149,190,4,1,No,None,As new,2,3,None,1959,304,F,None,None,30,No,No,None,Not a public sale,None,https://www.immoweb.be/en/classified/town-house/for-sale/woluwe-saint-lambert/1200/20139514
20216009,2970,schilde,villa,for-sale,910000910000,1620,326,5,2,None,Hyper equipped,As new,4,None,None,None,167,B,Non flood zone,1188,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/schilde/2970/20216009
20223825,2650,edegem,house,for-sale,13000001300000,425,264,4,2,None,Hyper equipped,Just renovated,None,2,None,None,179,B,Non flood zone,None,None,None,None,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/edegem/2650/20223825
20150292,4340,awans,mixed-use-building,for-sale,10500001050000,2345,375,2,1,No,Installed,As new,4,None,None,None,None,Not specified,Non flood zone,None,540,No,No,47,Not a public sale,None,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/awans/4340/20150292
20204175,8300,knokke,villa,for-sale,19800001980000,842,297,4,2,No,None,Good,None,None,None,1992,245,C,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/knokke/8300/20204175
20225365,1180,ukkel,house,for-sale,19750001975000,420,473,7,3,No,USA hyper equipped,Good,2,3,None,1929,273,E,None,215,16,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/ukkel/1180/20225365
20197368,8300,knokke-heist,villa,for-sale,39950003995000,1160,363,5,4,No,Hyper equipped,As new,4,1,None,1996,144,B,Non flood zone,None,None,Yes,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist/8300/20197368
20225733,8300,knokke-heist,apartment,for-sale,13700001370000,None,110,3,3,None,None,Just renovated,3,3,1,1976,132,B,None,None,None,No,Yes,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20225733
20151564,8770,ingelmunster,house,for-sale,149000149000159000,550,168,None,None,No,Not installed,To renovate,None,None,None,1850,555,F,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20151564
20199467,6990,hotton,house,for-sale,169000169000,184,164,3,1,No,Semi equipped,To be done up,3,2,None,1875,428,F,Recognized flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/hotton/6990/20199467
20183407,1785,merchtem,house,for-sale,439000439000,295,162,3,1,None,None,As new,4,None,None,None,None,B,Non flood zone,None,None,None,No,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/20183407
20151255,4020,liege,apartment-block,for-sale,250000250000260000,200,198,6,4,No,Installed,Good,3,2,None,1918,237,C,Non flood zone,None,None,None,None,None,Not a public sale,Make an offer,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/20151255
20208204,9520,sint-lievens-houtem,house,for-sale,549000549000,1280,255,5,1,None,Hyper equipped,As new,None,None,None,None,188,B,Non flood zone,None,None,None,None,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/20208204
20243201,9000,gent,service-flat,for-sale,365000365000,None,None,2,1,No,Hyper equipped,As new,2,5,1,2017,77,A,Non flood zone,None,12,No,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/service-flat/for-sale/gent/9000/20243201
20243204,9030,gent%20mariakerke,house,for-sale,620000620000,629,265,4,2,No,Hyper equipped,Good,3,3,None,1933,164,B,Non flood zone,478,30,No,No,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/gent%20mariakerke/9030/20243204
20243193,1082,berchem-sainte-agathe,duplex,for-sale,355000355000,None,149,3,1,None,None,As new,None,6,5,2005,369,G,None,None,10,None,Yes,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/duplex/for-sale/berchem-sainte-agathe/1082/20243193
