Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20198700,9000,Gent,apartment,for-sale,320000320000,,85.0,2.0,1.0,No,,To be done up,,6.0,,1981.0,250.0,C,Non flood zone,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20198700
20138913,9052,Gent,house,for-sale,399000399000,,120.0,3.0,1.0,,Hyper equipped,As new,3.0,3.0,,,,B,Non flood zone,70.0,20.0,No,No,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/gent/9052/20138913
20196747,9000,Gent,apartment,for-sale,,,139.0,3.0,2.0,No,,,,3.0,3.0,2014.0,111.0,B,Non flood zone,,9.0,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20196747
20199655,9700,Oudenaarde,apartment,for-sale,499500499500,,152.0,3.0,2.0,Yes,Installed,As new,4.0,2.0,1.0,2002.0,112.0,B,,,5.0,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20199655
20207400,8490,Varsenare,house,for-sale,549000549000,279.0,157.0,3.0,1.0,,Installed,Good,3.0,,,2013.0,100.0,A,Non flood zone,,20.0,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/varsenare/8490/20207400
20214545,8430,Middelkerke,flat-studio,for-sale,8900089000,,28.0,,1.0,Yes,,To renovate,,10.0,,1972.0,379.0,D,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8430/20214545
20213643,8434,Westende,flat-studio,for-sale,140000140000,,34.0,,1.0,Yes,,Good,,10.0,7.0,1972.0,175.0,B,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/20213643
20214522,8434,Westende,flat-studio,for-sale,105000105000,,33.0,,1.0,Yes,,To be done up,,6.0,4.0,1967.0,140.0,B,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/20214522
20214528,8434,Westende,apartment,for-sale,135000135000,,47.0,1.0,1.0,Yes,,Good,,6.0,5.0,1979.0,499.0,E,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20214528
20214523,8434,Westende,apartment,for-sale,149000149000,,54.0,,2.0,No,,To renovate,,,4.0,1967.0,,C,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20214523
20214521,8434,Westende,apartment,for-sale,149000149000,,60.0,1.0,1.0,No,,To be done up,,6.0,4.0,1967.0,236.0,C,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20214521
20214516,8400,Oostende,apartment,for-sale,199000199000,,57.0,1.0,1.0,Yes,,Good,,4.0,2.0,1963.0,122.0,B,,,,,Yes,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20214516
